Gene	Type	# condition specific	# condition up	# condition down	Condition up	Condition down	Gene_page
Mtr.338.1.S1_at	S	34	34	0	RT_Myc_3wks_infection,Nod_zone2,RT_DeNod_28dpi,Nod_4dpi,Nod_10dpi,Nod_14dpi,Nod_28dpi,Nod_16dpi_NO3,Nod_6dpi,Nod_14dpi_C,Nod_10dpi_C,Nod_20dpi,Nod_Naut1_SalsC,Nod_Naut1_SalsB,Nod_Sals4_SalsB,Nod_Sals4_SalsC,RT_2wks_Sdl_Hydroponic_200mM_NaCl_1h,Nodule_A17_6dpi,Nodule_efd_6dpi,Nodule_ya1_hap2_6dpi,Nod_R108,NOOT_NF2717,NOOT_TNK507,RT_Nod_5WKS_SuffN2_N2S,RT_Nod_5WKS_LimtN2_N2C,Nodule_20d,Nod_phosphinothricin_0h,Nod_phosphinothricin_4h,Nod_phosphinothricin_8h,Nod_phosphinothricin_24h,Nodule_20d_4h_PPT,Nodule_20d_8h_PPT,Nodule_20d_24h_PPT,RT_drought_3d	-	NA
Mtr.34397.1.S1_at	S	7	0	7	-	RT_Myc_3wks_infection,GiantCell,GallTissue_GiantCell,Nod_zone2,RT_LCM_arbuscular,RT_LCM_cortical,RT_LCM_adjacent	NA
Mtr.34603.1.S1_s_at	S	4	0	4	-	Nod_Naut1_SalsC,Nod_Naut1_SalsB,Nod_Sals4_SalsB,Nod_Sals4_SalsC	NA
Mtr.34689.1.S1_at	S	4	0	4	-	Nod_Naut1_SalsC,Nod_Naut1_SalsB,Nod_Sals4_SalsB,Nod_Sals4_SalsC	NA
Mtr.3478.1.S1_at	S	1	1	0	RT_Myc_3wks_infection	-	NA
Mtr.34954.1.S1_s_at	S	1	1	0	GallTissue_GiantCell	-	NA
Mtr.35090.1.S1_at	S	4	4	0	RT_Myc_3wks_infection,GiantCell,GallTissue_GiantCell,Nod_zone2	-	NA
Mtr.35263.1.S1_at	S	2	2	0	GallTissue_GiantCell,Nod_zone2	-	NA
Mtr.35463.1.S1_at	S	4	0	4	-	Nod_Naut1_SalsC,Nod_Naut1_SalsB,Nod_Sals4_SalsB,Nod_Sals4_SalsC	NA
Mtr.35758.1.S1_at	S	15	5	10	Nod_R108,NOOT_NF2717,NOOT_TNK507,Nod_phosphinothricin_4h,Nodule_20d_4h_PPT	RT_Myc_3wks_infection,GiantCell,GallTissue_GiantCell,Nod_zone2,RT_LCM_arbuscular,RT_LCM_cortical,Nod_Naut1_SalsC,Nod_Naut1_SalsB,Nod_Sals4_SalsB,Nod_Sals4_SalsC	NA
Mtr.35774.1.S1_at	S	7	1	6	RT_BC	GallTissue_GiantCell,Nod_zone2,Nod_Naut1_SalsC,Nod_Naut1_SalsB,Nod_Sals4_SalsB,Nod_Sals4_SalsC	NA
Mtr.35793.1.S1_at	S	11	0	11	-	RT_Tip_F83005_5_0hpi,RT_Tip_F83005_5_12hpi,RT_Tip_F83005_5_72hpi,Nod_Naut1_SalsC,Nod_Naut1_SalsB,Nod_Sals4_SalsB,Nod_Sals4_SalsC,RT_R108,Nod_R108,NOOT_NF2717,NOOT_TNK507	NA
Mtr.35829.1.S1_at	S	35	35	0	RT_Myc_3wks_infection,Nod_zone2,RT_DeNod_28dpi,Nod_4dpi,Nod_10dpi,Nod_14dpi,Nod_28dpi,Nod_16dpi_NO3,Nod_6dpi,Nod_14dpi_C,Nod_10dpi_C,Nod_20dpi,Nod_Naut1_SalsC,Nod_Naut1_SalsB,Nod_Sals4_SalsB,Nod_Sals4_SalsC,A17_LimN,Root_A17_5d_seedling_3dpi_Sinorhizobium,Nodule_A17_6dpi,Nodule_efd_6dpi,Nodule_ya1_hap2_6dpi,Nod_R108,NOOT_NF2717,NOOT_TNK507,RT_Nod_5WKS_SuffN2_N2S,RT_Nod_5WKS_LimtN2_N2C,Nodule_20d,Nod_phosphinothricin_0h,Nod_phosphinothricin_4h,Nod_phosphinothricin_8h,Nod_phosphinothricin_24h,Nodule_20d_4h_PPT,Nodule_20d_8h_PPT,Nodule_20d_24h_PPT,RT_drought_3d	-	NA
Mtr.35902.1.S1_at	S	4	0	4	-	Nod_Naut1_SalsC,Nod_Naut1_SalsB,Nod_Sals4_SalsB,Nod_Sals4_SalsC	NA
Mtr.35935.1.S1_at	S	4	0	4	-	Nod_Naut1_SalsC,Nod_Naut1_SalsB,Nod_Sals4_SalsB,Nod_Sals4_SalsC	NA
Mtr.36167.1.S1_at	S	7	7	0	RT_Myc_3wks_infection,GiantCell,GallTissue_GiantCell,Nod_zone2,RT_LCM_arbuscular,RT_LCM_cortical,RT_LCM_adjacent	-	NA
Mtr.36254.1.S1_at	S	7	7	0	RT_Myc_3wks_infection,GiantCell,GallTissue_GiantCell,Nod_zone2,RT_LCM_arbuscular,RT_LCM_cortical,RT_LCM_adjacent	-	NA
Mtr.36942.1.S1_at	S	8	0	8	-	Nod_Naut1_SalsC,Nod_Naut1_SalsB,Nod_Sals4_SalsB,Nod_Sals4_SalsC,RT_R108,Nod_R108,NOOT_NF2717,NOOT_TNK507	NA
Mtr.37366.1.S1_at	S	2	0	2	-	RT_Tip_F83005_5_0hpi,RT_Tip_F83005_5_12hpi	NA
Mtr.37506.1.S1_at	S	7	7	0	RT_LCM_arbuscular,RT_LCM_adjacent,RT_AM_Inf,Root_28dpi_Myc_G_intraradices_6wk_20_uM_P,Root_28dpi_Myc_G_mosseae_6wk_20_uM_P,HairyRoot_WT_Myc_Infect,Root_A17_inoculated_with_Gigaspora_early_contact	-	NA
Mtr.37535.1.S1_at	S	28	28	0	RT_Myc_3wks_infection,Nod_zone2,RT_DeNod_28dpi,Nod_10dpi,Nod_14dpi,Nod_28dpi,Nod_16dpi_NO3,Root_14dpi_control,Nod_6dpi,Nod_14dpi_C,Nod_10dpi_C,Nod_20dpi,Nodule_A17_6dpi,Nodule_efd_6dpi,Nodule_ya1_hap2_6dpi,Nod_R108,NOOT_NF2717,NOOT_TNK507,RT_Nod_5WKS_SuffN2_N2S,RT_Nod_5WKS_LimtN2_N2C,Nodule_20d,Nod_phosphinothricin_0h,Nod_phosphinothricin_4h,Nod_phosphinothricin_8h,Nod_phosphinothricin_24h,Nodule_20d_4h_PPT,Nodule_20d_8h_PPT,Nodule_20d_24h_PPT	-	NA
Mtr.37556.1.S1_at	S	1	0	1	-	RT_Myc_3wks_infection	NA
Mtr.37583.1.S1_at	S	4	0	4	-	Nod_Naut1_SalsC,Nod_Naut1_SalsB,Nod_Sals4_SalsB,Nod_Sals4_SalsC	NA
Mtr.37792.1.S1_at	S	1	0	1	-	Nod_Naut1_SalsB	NA
Mtr.38080.1.S1_at	S	3	0	3	-	GiantCell,GallTissue_GiantCell,Nod_zone2	NA
Mtr.38159.1.S1_s_at	S	11	0	11	-	RT_Tip_F83005_5_0hpi,RT_Tip_F83005_5_12hpi,RT_Tip_F83005_5_72hpi,RT_Myc_3wks_infection,GiantCell,GallTissue_GiantCell,Nod_zone2,RT_LCM_arbuscular,RT_LCM_cortical,Nod_Sals4_SalsB,Nod_Sals4_SalsC	NA
Mtr.38493.1.S1_at	S	33	30	3	RT_Myc_3wks_infection,Nod_zone2,Nod_10dpi,Nod_14dpi,Nod_28dpi,Nod_16dpi_NO3,Nod_6dpi,Nod_14dpi_C,Nod_10dpi_C,Nod_20dpi,RT_LCM_adjacent,Nod_Naut1_SalsC,Nod_Naut1_SalsB,Nod_Sals4_SalsB,Nod_Sals4_SalsC,Nodule_A17_6dpi,Nodule_efd_6dpi,Nodule_ya1_hap2_6dpi,Nod_R108,NOOT_NF2717,NOOT_TNK507,RT_Nod_5WKS_LimtN2_N2C,Nodule_20d,Nod_phosphinothricin_0h,Nod_phosphinothricin_4h,Nod_phosphinothricin_8h,Nod_phosphinothricin_24h,Nodule_20d_4h_PPT,Nodule_20d_8h_PPT,Nodule_20d_24h_PPT	RT_Tip_F83005_5_0hpi,RT_Tip_F83005_5_12hpi,RT_Tip_F83005_5_72hpi	NA
Mtr.38512.1.S1_at	S	7	0	7	-	RT_Myc_3wks_infection,GiantCell,GallTissue_GiantCell,Nod_zone2,RT_LCM_arbuscular,RT_LCM_cortical,RT_LCM_adjacent	NA
Mtr.38545.1.S1_at	S	4	0	4	-	Nod_Naut1_SalsC,Nod_Naut1_SalsB,Nod_Sals4_SalsB,Nod_Sals4_SalsC	NA
Mtr.386.1.S1_at	S	5	0	5	-	RT_Myc_3wks_infection,GiantCell,GallTissue_GiantCell,Nod_zone2,RT_LCM_arbuscular	NA
Mtr.38955.1.S1_s_at	S	42	42	0	RT_Myc_3wks_infection,GiantCell,GallTissue_GiantCell,Nod_zone2,Root,RT_DeNod_28dpi,Nod_10dpi,Nod_14dpi,Nod_28dpi,Nod_16dpi_NO3,Root_meristem,Root_14dpi_control,Nod_6dpi,Nod_14dpi_C,Nod_10dpi_C,Nod_20dpi,RT_LCM_arbuscular,RT_LCM_cortical,RT_LCM_adjacent,Nod_Naut1_SalsC,Nod_Naut1_SalsB,Nod_Sals4_SalsB,Nod_Sals4_SalsC,sunn_LimN,Nodule_A17_6dpi,Nodule_efd_6dpi,Nodule_ya1_hap2_6dpi,Nod_R108,NOOT_NF2717,NOOT_TNK507,RT_Nod_5WKS_SuffN2_N2S,RT_Nod_5WKS_LimtN2_N2C,Nodule_20d,Nod_phosphinothricin_0h,Nod_phosphinothricin_4h,Nod_phosphinothricin_8h,Nod_phosphinothricin_24h,Nodule_20d_4h_PPT,Nodule_20d_8h_PPT,Nodule_20d_24h_PPT,RT_drought_3d,RT_watered_d2	-	NA
Mtr.39178.1.S1_at	S	4	0	4	-	Nod_Naut1_SalsC,Nod_Naut1_SalsB,Nod_Sals4_SalsB,Nod_Sals4_SalsC	NA
Mtr.39216.1.S1_at	S	35	35	0	RT_Myc_3wks_infection,Nod_zone2,RT_DeNod_28dpi,Nod_4dpi,Nod_10dpi,Nod_14dpi,Nod_28dpi,Nod_16dpi_NO3,Root_meristem,Root_14dpi_control,Nod_6dpi,Nod_14dpi_C,Nod_10dpi_C,Nod_20dpi,Nod_Naut1_SalsC,Nod_Naut1_SalsB,Nod_Sals4_SalsB,Nod_Sals4_SalsC,RT_2wks_Sdl_Hydroponic_200mM_NaCl_1h,Nodule_A17_6dpi,Nodule_efd_6dpi,Nodule_ya1_hap2_6dpi,RT_Nod_5WKS_SuffN2_N2S,RT_Nod_5WKS_LimtN2_N2C,Nodule_20d,Nod_phosphinothricin_0h,Nod_phosphinothricin_4h,Nod_phosphinothricin_8h,Nod_phosphinothricin_24h,Nodule_20d_4h_PPT,Nodule_20d_8h_PPT,Nodule_20d_24h_PPT,RT_BC,RT_drought_3d,RT_watered_d2	-	NA
Mtr.39439.1.S1_at	S	7	7	0	RT_Myc_3wks_infection,GiantCell,GallTissue_GiantCell,Nod_zone2,RT_LCM_arbuscular,RT_LCM_cortical,RT_LCM_adjacent	-	NA
Mtr.40083.1.S1_at	S	41	41	0	RT_Myc_3wks_infection,GallTissue_GiantCell,Nod_zone2,Root,RT_DeNod_28dpi,Nod_10dpi,Nod_14dpi,Nod_28dpi,Nod_16dpi_NO3,Root_meristem,Root_14dpi_control,Nod_6dpi,Nod_14dpi_C,Nod_10dpi_C,Nod_20dpi,RT_LCM_arbuscular,RT_LCM_cortical,RT_LCM_adjacent,Nod_Naut1_SalsC,Nod_Naut1_SalsB,Nod_Sals4_SalsB,Nod_Sals4_SalsC,sunn_LimN,Nodule_A17_6dpi,Nodule_efd_6dpi,Nodule_ya1_hap2_6dpi,Nod_R108,NOOT_NF2717,NOOT_TNK507,RT_Nod_5WKS_SuffN2_N2S,RT_Nod_5WKS_LimtN2_N2C,Nodule_20d,Nod_phosphinothricin_0h,Nod_phosphinothricin_4h,Nod_phosphinothricin_8h,Nod_phosphinothricin_24h,Nodule_20d_4h_PPT,Nodule_20d_8h_PPT,Nodule_20d_24h_PPT,RT_drought_3d,RT_watered_d2	-	NA
Mtr.40136.1.S1_at	S	20	0	20	-	RT_Myc_3wks_infection,GiantCell,Nod_zone2,RT_LCM_arbuscular,RT_LCM_adjacent,Nod_Naut1_SalsC,Nod_Naut1_SalsB,Nod_Sals4_SalsB,Nod_Sals4_SalsC,RT_2ds_Sdl_culture_180mM_NaCl_48h,RT_2wks_Sdl_Hydroponic_200mM_NaCl_2h,RT_2wks_Sdl_Hydroponic_200mM_NaCl_5h,RT_2wks_Sdl_Hydroponic_200mM_NaCl_10h,RT_2wks_Sdl_Hydroponic_200mM_NaCl_24h,RT_A17_NPA_1d,RT_A17_NPA_7d,RT_A17_TIBA_7d,RT_A17_TIBA_1d,Nod_phosphinothricin_8h,Nodule_20d_8h_PPT	NA
Mtr.40180.1.S1_at	S	42	42	0	RT_Myc_3wks_infection,GiantCell,Nod_zone2,Root,RT_DeNod_28dpi,Nod_4dpi,Nod_10dpi,Nod_14dpi,Nod_28dpi,Nod_16dpi_NO3,Root_meristem,Root_6dpi_control,Root_14dpi_control,Nod_6dpi,Nod_14dpi_C,Nod_10dpi_C,Nod_20dpi,RT_LCM_arbuscular,RT_LCM_cortical,RT_LCM_adjacent,Nod_Sals4_SalsC,RT_2wks_Sdl_Hydroponic_200mM_NaCl_1h,sunn_LimN,Nodule_A17_6dpi,Nodule_efd_6dpi,Nodule_ya1_hap2_6dpi,Nod_R108,NOOT_NF2717,NOOT_TNK507,RT_Nod_5WKS_SuffN2_N2S,RT_Nod_5WKS_LimtN2_N2C,Nodule_20d,Nod_phosphinothricin_0h,Nod_phosphinothricin_4h,Nod_phosphinothricin_8h,Nod_phosphinothricin_24h,Nodule_20d_4h_PPT,Nodule_20d_8h_PPT,Nodule_20d_24h_PPT,RT_drought_3d,RT_drought_14d,RT_watered_d2	-	NA
Mtr.40395.1.S1_at	S	38	38	0	RT_Myc_3wks_infection,Nod_zone2,RT_DeNod_28dpi,Nod_4dpi,Nod_10dpi,Nod_14dpi,Nod_28dpi,Nod_16dpi_NO3,Root_14dpi_control,Nod_6dpi,Nod_14dpi_C,Nod_10dpi_C,Nod_20dpi,Nod_Naut1_SalsC,Nod_Naut1_SalsB,Nod_Sals4_SalsB,Nod_Sals4_SalsC,RT_2wks_Sdl_Hydroponic_200mM_NaCl_1h,A17_LimN,Root_A17_5d_seedling_3dpi_Sinorhizobium,Nodule_A17_6dpi,Nodule_efd_6dpi,Nodule_ya1_hap2_6dpi,Nod_R108,NOOT_NF2717,NOOT_TNK507,RT_Nod_5WKS_SuffN2_N2S,RT_Nod_5WKS_LimtN2_N2C,Nodule_20d,Nod_phosphinothricin_0h,Nod_phosphinothricin_4h,Nod_phosphinothricin_8h,Nod_phosphinothricin_24h,Nodule_20d_4h_PPT,Nodule_20d_8h_PPT,Nodule_20d_24h_PPT,RT_drought_3d,RT_watered_d2	-	NA
Mtr.40693.1.S1_s_at	S	7	0	7	-	RT_Tip_F83005_5_0hpi,RT_Tip_F83005_5_12hpi,RT_Tip_F83005_5_72hpi,Nod_Naut1_SalsC,Nod_Naut1_SalsB,Nod_Sals4_SalsB,Nod_Sals4_SalsC	NA
Mtr.40731.1.S1_at	S	31	31	0	RT_Myc_3wks_infection,Nod_zone2,RT_DeNod_28dpi,Nod_10dpi,Nod_14dpi,Nod_28dpi,Nod_16dpi_NO3,Root_meristem,Root_14dpi_control,Nod_6dpi,Nod_14dpi_C,Nod_10dpi_C,Nod_20dpi,Nod_Naut1_SalsC,Nod_Naut1_SalsB,Nodule_A17_6dpi,Nodule_efd_6dpi,Nodule_ya1_hap2_6dpi,Nod_R108,NOOT_NF2717,NOOT_TNK507,RT_Nod_5WKS_SuffN2_N2S,RT_Nod_5WKS_LimtN2_N2C,Nodule_20d,Nod_phosphinothricin_0h,Nod_phosphinothricin_4h,Nod_phosphinothricin_8h,Nod_phosphinothricin_24h,Nodule_20d_4h_PPT,Nodule_20d_8h_PPT,Nodule_20d_24h_PPT	-	NA
Mtr.40817.1.S1_at	S	36	36	0	RT_Myc_3wks_infection,GallTissue_GiantCell,Nod_zone2,RT_DeNod_28dpi,Nod_4dpi,Nod_10dpi,Nod_14dpi,Nod_28dpi,Nod_16dpi_NO3,Root_meristem,Root_14dpi_control,Nod_6dpi,Nod_14dpi_C,Nod_10dpi_C,Nod_20dpi,RT_LCM_arbuscular,RT_LCM_cortical,Nod_Sals4_SalsB,Nod_Sals4_SalsC,Nodule_A17_6dpi,Nodule_efd_6dpi,Nodule_ya1_hap2_6dpi,RT_Nod_5WKS_SuffN2_N2S,RT_Nod_5WKS_LimtN2_N2C,Nodule_20d,Nod_phosphinothricin_0h,Nod_phosphinothricin_4h,Nod_phosphinothricin_8h,Nod_phosphinothricin_24h,Nodule_20d_4h_PPT,Nodule_20d_8h_PPT,Nodule_20d_24h_PPT,RT_BC,RT_drought_3d,RT_drought_14d,RT_watered_d2	-	NA
Mtr.41024.1.S1_at	S	1	1	0	GiantCell	-	NA
Mtr.41075.1.S1_at	S	13	0	13	-	RT_Tip_F83005_5_0hpi,RT_Tip_F83005_5_12hpi,RT_Tip_F83005_5_72hpi,GiantCell,Nod_zone2,Nod_Naut1_SalsC,Nod_Naut1_SalsB,Nod_Sals4_SalsB,Nod_Sals4_SalsC,RT_R108,Nod_R108,NOOT_NF2717,NOOT_TNK507	NA
Mtr.41126.1.S1_at	S	11	0	11	-	RT_Tip_F83005_5_0hpi,RT_Tip_F83005_5_12hpi,RT_Tip_F83005_5_72hpi,Nod_Naut1_SalsC,Nod_Naut1_SalsB,Nod_Sals4_SalsB,Nod_Sals4_SalsC,RT_R108,Nod_R108,NOOT_NF2717,NOOT_TNK507	NA
Mtr.41291.1.S1_at	S	4	4	0	RT_Myc_3wks_infection,GiantCell,GallTissue_GiantCell,Nod_zone2	-	NA
Mtr.41761.1.S1_at	S	4	0	4	-	Nod_Naut1_SalsC,Nod_Naut1_SalsB,Nod_Sals4_SalsB,Nod_Sals4_SalsC	NA
Mtr.42348.1.S1_at	S	5	0	5	-	GiantCell,Nod_Naut1_SalsC,Nod_Naut1_SalsB,Nod_Sals4_SalsB,Nod_Sals4_SalsC	NA
Mtr.4240.1.S1_at	S	7	7	0	RT_Myc_3wks_infection,GiantCell,GallTissue_GiantCell,Nod_zone2,RT_LCM_arbuscular,RT_LCM_cortical,RT_LCM_adjacent	-	NA
Mtr.4253.1.S1_at	S	7	7	0	RT_Myc_3wks_infection,GiantCell,GallTissue_GiantCell,Nod_zone2,RT_LCM_arbuscular,RT_LCM_cortical,RT_LCM_adjacent	-	NA
Mtr.4266.1.S1_at	S	7	7	0	RT_Myc_3wks_infection,GiantCell,GallTissue_GiantCell,Nod_zone2,RT_LCM_arbuscular,RT_LCM_cortical,RT_LCM_adjacent	-	NA
Mtr.42844.1.S1_at	S	31	31	0	RT_Myc_3wks_infection,Nod_zone2,Nod_10dpi,Nod_14dpi,Nod_28dpi,Nod_16dpi_NO3,Root_meristem,Nod_6dpi,Nod_14dpi_C,Nod_10dpi_C,Nod_20dpi,Nod_Naut1_SalsC,Nod_Naut1_SalsB,Nod_Sals4_SalsB,Nod_Sals4_SalsC,Nodule_A17_6dpi,Nodule_efd_6dpi,Nodule_ya1_hap2_6dpi,Nod_R108,NOOT_NF2717,NOOT_TNK507,RT_Nod_5WKS_SuffN2_N2S,RT_Nod_5WKS_LimtN2_N2C,Nodule_20d,Nod_phosphinothricin_0h,Nod_phosphinothricin_4h,Nod_phosphinothricin_8h,Nod_phosphinothricin_24h,Nodule_20d_4h_PPT,Nodule_20d_8h_PPT,Nodule_20d_24h_PPT	-	NA
Mtr.42875.1.S1_s_at	S	41	41	0	RT_Myc_3wks_infection,Nod_zone2,Root,RT_DeNod_28dpi,Nod_10dpi,Nod_14dpi,Nod_28dpi,Nod_16dpi_NO3,Root_meristem,Root_14dpi_control,Nod_6dpi,Nod_14dpi_C,Nod_10dpi_C,Nod_20dpi,RT_LCM_arbuscular,RT_LCM_cortical,RT_LCM_adjacent,Nod_Naut1_SalsC,Nod_Naut1_SalsB,Nod_Sals4_SalsB,Nod_Sals4_SalsC,Root_28dpi_Myc_G_mosseae_6wk_20_uM_P,sunn_LimN,Nodule_A17_6dpi,Nodule_efd_6dpi,Nodule_ya1_hap2_6dpi,Nod_R108,NOOT_NF2717,NOOT_TNK507,RT_Nod_5WKS_SuffN2_N2S,RT_Nod_5WKS_LimtN2_N2C,Nodule_20d,Nod_phosphinothricin_0h,Nod_phosphinothricin_4h,Nod_phosphinothricin_8h,Nod_phosphinothricin_24h,Nodule_20d_4h_PPT,Nodule_20d_8h_PPT,Nodule_20d_24h_PPT,RT_drought_3d,RT_watered_d2	-	NA
Mtr.42936.1.S1_at	S	8	8	0	RT_Myc_3wks_infection,GiantCell,GallTissue_GiantCell,Nod_zone2,Nod_Naut1_SalsC,Nod_Naut1_SalsB,Nod_Sals4_SalsB,Nod_Sals4_SalsC	-	NA
Mtr.43052.1.S1_s_at	S	12	0	12	-	RT_Tip_F83005_5_0hpi,RT_Tip_F83005_5_12hpi,RT_Tip_F83005_5_72hpi,Nod_zone2,Nod_Naut1_SalsC,Nod_Naut1_SalsB,Nod_Sals4_SalsB,Nod_Sals4_SalsC,RT_R108,Nod_R108,NOOT_NF2717,NOOT_TNK507	NA
Mtr.43053.1.S1_at	S	11	0	11	-	RT_Tip_F83005_5_0hpi,RT_Tip_F83005_5_12hpi,RT_Tip_F83005_5_72hpi,Nod_Naut1_SalsC,Nod_Naut1_SalsB,Nod_Sals4_SalsB,Nod_Sals4_SalsC,RT_R108,Nod_R108,NOOT_NF2717,NOOT_TNK507	NA
Mtr.43097.1.S1_at	S	2	0	2	-	GiantCell,GallTissue_GiantCell	NA
Mtr.43103.1.S1_s_at	S	30	30	0	RT_Myc_3wks_infection,Nod_zone2,Nod_10dpi,Nod_14dpi,Nod_28dpi,Nod_16dpi_NO3,Nod_6dpi,Nod_14dpi_C,Nod_10dpi_C,Nod_20dpi,Nod_Naut1_SalsC,Nod_Naut1_SalsB,Nod_Sals4_SalsB,Nod_Sals4_SalsC,Nodule_A17_6dpi,Nodule_efd_6dpi,Nodule_ya1_hap2_6dpi,Nod_R108,NOOT_NF2717,NOOT_TNK507,RT_Nod_5WKS_SuffN2_N2S,RT_Nod_5WKS_LimtN2_N2C,Nodule_20d,Nod_phosphinothricin_0h,Nod_phosphinothricin_4h,Nod_phosphinothricin_8h,Nod_phosphinothricin_24h,Nodule_20d_4h_PPT,Nodule_20d_8h_PPT,Nodule_20d_24h_PPT	-	NA
Mtr.43106.1.S1_at	S	39	39	0	RT_Myc_3wks_infection,Nod_zone2,RT_DeNod_28dpi,Nod_4dpi,Nod_10dpi,Nod_14dpi,Nod_28dpi,Nod_16dpi_NO3,Nod_6dpi,Nod_14dpi_C,Nod_10dpi_C,Nod_20dpi,RT_LCM_arbuscular,RT_LCM_cortical,RT_LCM_adjacent,Nod_Naut1_SalsC,Nod_Naut1_SalsB,Nod_Sals4_SalsB,Nod_Sals4_SalsC,RT_2ds_Sdl_culture_180mM_NaCl_48h,RT_2wks_Sdl_Hydroponic_200mM_NaCl_1h,A17_LimN,Root_A17_5d_seedling_3dpi_Sinorhizobium,Root_sunn_2_skl_5d_seedling_4h_Mock,Root_sunn_2_skl_5d_seedling_4h_Nod_factor,Nodule_A17_6dpi,Nodule_efd_6dpi,Nodule_ya1_hap2_6dpi,RT_Nod_5WKS_SuffN2_N2S,RT_Nod_5WKS_LimtN2_N2C,Nodule_20d,Nod_phosphinothricin_0h,Nod_phosphinothricin_4h,Nod_phosphinothricin_8h,Nod_phosphinothricin_24h,Nodule_20d_4h_PPT,Nodule_20d_8h_PPT,Nodule_20d_24h_PPT,RT_drought_3d	-	NA
Mtr.43232.1.S1_at	S	4	0	4	-	Nod_Naut1_SalsC,Nod_Naut1_SalsB,Nod_Sals4_SalsB,Nod_Sals4_SalsC	NA
Mtr.43465.1.S1_at	S	39	39	0	RT_Myc_3wks_infection,GiantCell,GallTissue_GiantCell,Nod_zone2,Root,RT_DeNod_28dpi,Nod_4dpi,Nod_10dpi,Nod_14dpi,Nod_28dpi,Nod_16dpi_NO3,Root_meristem,Root_14dpi_control,Root_20dpi_control,Nod_6dpi,Nod_14dpi_C,Nod_10dpi_C,Nod_20dpi,Nod_Naut1_SalsC,Nod_Naut1_SalsB,Nod_Sals4_SalsB,Nod_Sals4_SalsC,Nodule_A17_6dpi,Nodule_efd_6dpi,Nodule_ya1_hap2_6dpi,Nod_R108,NOOT_NF2717,NOOT_TNK507,RT_Nod_5WKS_SuffN2_N2S,RT_Nod_5WKS_LimtN2_N2C,Nodule_20d,Nod_phosphinothricin_0h,Nod_phosphinothricin_4h,Nod_phosphinothricin_8h,Nod_phosphinothricin_24h,Nodule_20d_4h_PPT,Nodule_20d_8h_PPT,Nodule_20d_24h_PPT,RT_watered_d2	-	NA
Mtr.43484.1.S1_at	S	8	0	8	-	Nod_Naut1_SalsC,Nod_Naut1_SalsB,Nod_Sals4_SalsB,Nod_Sals4_SalsC,RT_R108,Nod_R108,NOOT_NF2717,NOOT_TNK507	NA
Mtr.43526.1.S1_at	S	3	0	3	-	GiantCell,GallTissue_GiantCell,RT_LCM_arbuscular	NA
Mtr.43720.1.S1_at	S	5	0	5	-	Nod_zone2,Nod_Naut1_SalsC,Nod_Naut1_SalsB,Nod_Sals4_SalsB,Nod_Sals4_SalsC	NA
Mtr.43725.1.S1_at	S	4	0	4	-	Nod_Naut1_SalsC,Nod_Naut1_SalsB,Nod_Sals4_SalsB,Nod_Sals4_SalsC	NA
Mtr.43903.1.S1_at	S	8	0	8	-	RT_Myc_3wks_infection,GiantCell,GallTissue_GiantCell,Nod_zone2,Nod_Naut1_SalsC,Nod_Naut1_SalsB,Nod_Sals4_SalsB,Nod_Sals4_SalsC	NA
Mtr.43905.1.S1_at	S	4	0	4	-	Nod_Naut1_SalsC,Nod_Naut1_SalsB,Nod_Sals4_SalsB,Nod_Sals4_SalsC	NA
Mtr.44290.1.S1_at	S	7	0	7	-	RT_Myc_3wks_infection,GiantCell,GallTissue_GiantCell,Nod_zone2,RT_LCM_arbuscular,RT_LCM_cortical,RT_LCM_adjacent	NA
Mtr.44301.1.S1_s_at	S	34	34	0	Nod_zone2,Nod_10dpi,Nod_14dpi,Nod_28dpi,Nod_16dpi_NO3,Nod_6dpi,Nod_14dpi_C,Nod_10dpi_C,Nod_20dpi,RT_LCM_arbuscular,Nod_Naut1_SalsC,Nod_Naut1_SalsB,Nod_Sals4_SalsB,Nod_Sals4_SalsC,Root_28dpi_Myc_G_intraradices_6wk_20_uM_P,Root_28dpi_Myc_G_mosseae_6wk_20_uM_P,Root_sunn_2_skl_5d_seedling_24h_Nod_factor,Nodule_A17_6dpi,Nodule_efd_6dpi,Nodule_ya1_hap2_6dpi,RT_transgenic_TT2,Nod_R108,NOOT_NF2717,NOOT_TNK507,RT_Nod_5WKS_SuffN2_N2S,RT_Nod_5WKS_LimtN2_N2C,Nodule_20d,Nod_phosphinothricin_0h,Nod_phosphinothricin_4h,Nod_phosphinothricin_8h,Nod_phosphinothricin_24h,Nodule_20d_4h_PPT,Nodule_20d_8h_PPT,Nodule_20d_24h_PPT	-	NA
Mtr.44709.1.S1_at	S	3	3	0	RT_LCM_arbuscular,RT_LCM_cortical,RT_LCM_adjacent	-	NA
